fountaintype,position,propname,borough,fountaincount,district,point
D,Under Tree,Tudor Park,Q,1,"D, Under Tree"," (-73.85399730542328,40.67297818880668)"
E and Dog,Out in Open,Fort Greene Park,B,2,"E and Dog, Out in Open"," (-73.97469350514939,40.69071833783861)"
E,Out in Open,Central Park,M,1,"E, Out in Open"," (-73.95918103645948,40.78411120794686)"
D,Out in Open,Pelham Bay Park,X,1,"D, Out in Open"," (-73.79303098921761,40.86887275977577)"
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.83875973826902,40.74478449509412)"
A,"Under Tree, In Playground",Tompkins Square Park,M,1,"A, Under Tree, In Playground"," (-73.981327748822,40.72565675138559)"
B,"Under Tree, In Shade",Prospect Park,B,1,"B, Under Tree, In Shade"," (-73.97006856535027,40.67192175039113)"
B,"Under Tree, In Shade, Out in Open",Central Park,M,1,"B, Under Tree, In Shade, Out in Open"," (-73.97077530019477,40.76779035415015)"
C,Near Ballfield,Noble Playground,X,1,"C, Near Ballfield"," (-73.87175369655377,40.83764685433224)"
C,Near Ballfield,Frederick B. Judge Playground,Q,1,"C, Near Ballfield"," (-73.8086164479226,40.68394295625403)"
E High Low,Out_in_Open,Forest Park,Q,2,"E High Low, Out_in_Open"," (-73.8580083645275,40.698211148309966)"
E,In Playground,Shore Park and Parkway,B,1,"E, In Playground"," (-74.03931254035842,40.63163667358944)"
C,In Playground,Elton Playground,B,1,"C, In Playground"," (-73.88091138423775,40.66592673297097)"
F,"In Playground, Near Ballfield",White Playground,M,1,"F, In Playground, Near Ballfield"," (-73.94587805040527,40.79151916176893)"
D,In Playground,Space Time Playground,X,1,"D, In Playground"," (-73.85982902159667,40.82202974703248)"
C,In Playground,Stebbins Playground,X,1,"C, In Playground"," (-73.89861935765303,40.82269629123698)"
E and Dog,"Under Tree, In Shade",Central Park,M,2,"E and Dog, Under Tree, In Shade"," (-73.96408556099723,40.78191532861275)"
C,In Playground,Pfc Norton Playground,B,1,"C, In Playground"," (-73.9448958218151,40.61461621605934)"
Indoor Drinking Fountain,Indoor,Hansborough Recreation Center,M,1,"Indoor Drinking Fountain, Indoor"," (-73.93933148840306,40.81283497124638)"
D,Under Tree,South Rochdale Playground,Q,1,"D, Under Tree"," (-73.76938062786455,40.67387065932245)"
A,"Just Outside Playground, Out in Open",Farm Playground,Q,1,"A, Just Outside Playground, Out in Open"," (-73.77739339549608,40.73515637348266)"
C,In Playground,Augustus St. Gaudens Playground,M,1,"C, In Playground"," (-73.9822757014508,40.73550444549923)"
Indoor Drinking Fountain,Indoor,Alfred E. Smith Playground,M,1,"Indoor Drinking Fountain, Indoor"," (-73.99763652191835,40.71018528083033)"
A,Out in Open,Annadale Green,R,1,"A, Out in Open"," (-74.17765274649156,40.54164822330401)"
Bottle Filler Fountain,Out in Open,Nicholas Naquan Heyward Jr. Park,B,2,"Bottle Filler Fountain, Out in Open"," (-73.98781065718583,40.68437550428601)"
A,Near Ballfield,Hermon A. MacNeil Park,Q,1,"A, Near Ballfield"," (-73.85121336579608,40.791889283065295)"
A,Under Tree,Pelham Bay Park,X,1,"A, Under Tree"," (-73.79326439134793,40.86748107266121)"
D,Out in Open,Cunningham Park,Q,1,"D, Out in Open"," (-73.76487548011532,40.738704458694365)"
A,In Playground,Homecrest Playground,B,1,"A, In Playground"," (-73.95728727427905,40.5864181143572)"
Bottle Filler High Low,"In Playground, Under Tree",Recreational Area,M,3,"Bottle Filler High Low, In Playground, Under Tree"," (-73.9523815919824,40.829840299253604)"
Indoor Drinking Fountain,Indoor,Astoria Park,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.92216695299264,40.77852965552835)"
C,Near Ballfield,Marcy Playground,B,1,"C, Near Ballfield"," (-73.95091342985243,40.69537820515398)"
D,"Near Ballfield, Out in Open",Fordham Landing Playground,X,1,"D, Near Ballfield, Out in Open"," (-73.91067313335898,40.86320516078135)"
J,,Thomas Jefferson Park,M,1,"J,"," (-73.93655098545429,40.793770558946356)"
A,Near Ballfield,Franklin D. Roosevelt Boardwalk and Beach,R,1,"A, Near Ballfield"," (-74.08929986374893,40.57025190413083)"
Bottle Filler High Low,"Under Tree, Near Ballfield",McCarren Park,B,3,"Bottle Filler High Low, Under Tree, Near Ballfield"," (-73.95200116797007,40.719394446255286)"
A,Out in Open,Astoria Park,Q,1,"A, Out in Open"," (-73.91887945502454,40.781497377281006)"
A,"Near Ballfield, Under Tree",Van Cortlandt Park,X,1,"A, Near Ballfield, Under Tree"," (-73.89600044179065,40.906941053855554)"
A,Out in Open,Harold Schneiderman Playground,Q,1,"A, Out in Open"," (-73.85017982454814,40.66501359088194)"
A,"Out in Open, In Playground",Surf Playground,B,1,"A, Out in Open, In Playground"," (-73.99249981406554,40.57369129004498)"
E and Dog,"In Shade, Out in Open, Under Tree",Central Park,M,2,"E and Dog, In Shade, Out in Open, Under Tree"," (-73.96884051646803,40.77107049111614)"
A,In Playground,Bronx Park,X,1,"A, In Playground"," (-73.8761206936304,40.86992680849949)"
A,"Under Tree, Near Ballfield, Just Outside Playground",Harlem Lane Playground,M,1,"A, Under Tree, Near Ballfield, Just Outside Playground"," (-73.93484302270564,40.82530296146144)"
E,Out in Open,Columbus Park,B,1,"E, Out in Open"," (-73.99004689480086,40.69414504800526)"
E,In Playground,Paul Raimonda Playground,Q,1,"E, In Playground"," (-73.89774190306629,40.772787578219784)"
E High Low,,Brooklyn Botanic Garden,B,2,"E High Low,"," (-73.96431776388334,40.667220763815266)"
Indoor Drinking Fountain,Indoor,Flushing Meadows Corona Park,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.83742404772734,40.75176191263366)"
A,,Willowbrook Park,R,1,"A,"," (-74.15879101178169,40.604296088330806)"
C,In Playground,Maple Playground,Q,1,"C, In Playground"," (-73.82595781487026,40.75599812988327)"
Indoor Drinking Fountain,Indoor,Washington Square Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.99830972437842,40.73083154587701)"
D,Out in Open,West Bronx Recreation Center,X,1,"D, Out in Open"," (-73.91958701641846,40.84417826417754)"
A,In Playground,Beach 9 Playground,Q,1,"A, In Playground"," (-73.74452831867433,40.59564799243783)"
D,Out in Open,Flushing Meadows Corona Park,Q,1,"D, Out in Open"," (-73.84516722320376,40.74415494209108)"
A,Near Ballfield,John Hancock Playground,B,1,"A, Near Ballfield"," (-73.95464171035016,40.68232302793684)"
A,"In Shade, Just Outside Playground",Jackie Robinson Park,M,1,"A, In Shade, Just Outside Playground"," (-73.94274189986473,40.824017690941474)"
A,"In Playground, Under Tree",Commodore Barry Park,B,1,"A, In Playground, Under Tree"," (-73.97863394849965,40.69802978041076)"
D,Under Tree,MacLaughlin Playground,X,1,"D, Under Tree"," (-73.90552996600913,40.88781534322812)"
E,"Out in Open, Near Ballfield",West Playground,B,1,"E, Out in Open, Near Ballfield"," (-73.96980177053804,40.587330596956846)"
Indoor Drinking Fountain,Indoor,Barretto  Park,X,1,"Indoor Drinking Fountain, Indoor"," (-73.88878149014197,40.804415715901435)"
Indoor Drinking Fountain,Indoor,McCarren Park,B,1,"Indoor Drinking Fountain, Indoor"," (-73.94992997567486,40.7200816932747)"
D,Near Ballfield,Bloomingdale Park,R,1,"D, Near Ballfield"," (-74.2099058534571,40.53505278182459)"
CS Concrete,"In Playground, Near Ballfield, Under Tree",McCaffrey Playground,M,1,"CS Concrete, In Playground, Near Ballfield, Under Tree"," (-73.99134714756892,40.75913630355589)"
Indoor Drinking Fountain,Indoor,Prospect Park,B,1,"Indoor Drinking Fountain, Indoor"," (-73.96528054008711,40.66082317313157)"
E,"Near Ballfield, Out in Open",Central Park,M,1,"E, Near Ballfield, Out in Open"," (-73.97589661063124,40.76992140847818)"
E,Under Tree,Star Spangled Playground,B,1,"E, Under Tree"," (-73.95799115668036,40.69162725499083)"
E High Low,,DeSalvio Playground,M,2,"E High Low,"," (-73.99597548077702,40.72170081160548)"
F High Low,In Playground,Fox Playground,X,2,"F High Low, In Playground"," (-73.89847366318371,40.81494893045333)"
C,"Out in Open, Just Outside Playground",Gouverneur Playground,X,1,"C, Out in Open, Just Outside Playground"," (-73.90330230993078,40.83580402995687)"
D,"Near Ballfield, In Playground",Matthew P. Sapolin Playground,M,1,"D, Near Ballfield, In Playground"," (-73.9838498951259,40.77722615062324)"
A,Out in Open,Forest Park,Q,1,"A, Out in Open"," (-73.85664806768776,40.69740014083301)"
A,"In Shade, Under Tree",Prospect Park,B,1,"A, In Shade, Under Tree"," (-73.96807416671818,40.66854191109005)"
C,In Playground,Martin Luther King Jr. Playground,B,1,"C, In Playground"," (-73.89024000457235,40.66736674612911)"
D,Just Outside Playground,Park Of The Americas,Q,1,"D, Just Outside Playground"," (-73.86179723499026,40.74875433668764)"
A,Under Tree,Benjamin Gladstone Square,X,1,"A, Under Tree"," (-73.89089415808847,40.82536320053393)"
A,"Under Tree, Just Outside Playground",Benninger Playground,Q,1,"A, Under Tree, Just Outside Playground"," (-73.8981264715423,40.70696839475983)"
Indoor Drinking Fountain,Indoor,Metropolitan Recreation Center,B,1,"Indoor Drinking Fountain, Indoor"," (-73.9603169539417,40.71501243277917)"
E High Low,,Msgr. McGolrick Park,B,2,"E High Low,"," (-73.94335931543792,40.725277390937926)"
E and Dog,Out in Open,Central Park,M,2,"E and Dog, Out in Open"," (-73.95552037260236,40.791608776151975)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.97271242318304,40.574033108446635)"
Trough,Out in Open,Rockaway Beach and Boardwalk,Q,1,"Trough, Out in Open"," (-73.79972674474777,40.586537132516305)"
E and Dog,"Under Tree, Just Outside Playground, Near Ballfield",Marcus Garvey Park,M,2,"E and Dog, Under Tree, Just Outside Playground, Near Ballfield"," (-73.94268732576816,40.80358979219789)"
E High Low,"Out in Open, Near Ballfield",Harry Maze Playground,B,2,"E High Low, Out in Open, Near Ballfield"," (-73.92326102514801,40.64348591799987)"
Indoor Drinking Fountain,Indoor,Thomas Greene Playground,B,1,"Indoor Drinking Fountain, Indoor"," (-73.98578259993782,40.68065079759494)"
F High Low,Out in Open,Van Cortlandt Park,X,2,"F High Low, Out in Open"," (-73.89604046551194,40.89375299449491)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.9829054360471,40.57270486219849)"
Indoor Drinking Fountain,Indoor,Flushing Meadows Corona Park,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.83377790153129,40.751409211946985)"
D,Out in Open,Vidalia Park,X,1,"D, Out in Open"," (-73.88164445481642,40.84377971338117)"
E High Low,"Near Ballfield, Just Outside Playground",John V. Lindsay East River Park,M,2,"E High Low, Near Ballfield, Just Outside Playground"," (-73.97225393608811,40.72440418000083)"
C,Out in Open,Hinton Park,Q,1,"C, Out in Open"," (-73.85511186724138,40.75672352938149)"
B,"Near Ballfield, Under Tree",Harlem River Park,M,1,"B, Near Ballfield, Under Tree"," (-73.93456203107486,40.80733320373234)"
A,Out in Open,Cunningham Park,Q,1,"A, Out in Open"," (-73.7725625121073,40.73003274065127)"
E High Low,In Playground,Spirit Playground,Q,2,"E High Low, In Playground"," (-73.941259297452,40.761249943532064)"
D,"Out in Open, Near Ballfield",Van Cortlandt Park,X,1,"D, Out in Open, Near Ballfield"," (-73.87076528204595,40.90067158732127)"
CS Metal,"Under Tree, Out in Open, Just Outside Playground",Fox Playground,B,1,"CS Metal, Under Tree, Out in Open, Just Outside Playground"," (-73.92387867510826,40.63266361134451)"
A,"Out in Open, Near Ballfield",Parade Ground,B,1,"A, Out in Open, Near Ballfield"," (-73.97032581829235,40.650065722247774)"
A,In Shade,Van Cortlandt Park,X,1,"A, In Shade"," (-73.89261259883682,40.90092515402534)"
C,Out in Open,Mount Eden Malls,X,1,"C, Out in Open"," (-73.90979300439481,40.84289266802044)"
E,"Under Tree, In Playground",Seward Park,M,1,"E, Under Tree, In Playground"," (-73.98979745645585,40.71454296247544)"
C,Out in Open,South Pacific Playground,B,1,"C, Out in Open"," (-73.91974458077246,40.675681586742634)"
C,Near Ballfield,Mafera Park,Q,1,"C, Near Ballfield"," (-73.89156858851847,40.70725174042058)"
A,"Under Tree, In Playground",Rodney Park North,B,1,"A, Under Tree, In Playground"," (-73.95623945709546,40.70901154415401)"
D,Near Ballfield,Montbellier Park,Q,1,"D, Near Ballfield"," (-73.75655682607899,40.67435833467641)"
D,"Under Tree, Just Outside Playground",Behagen Playground,X,1,"D, Under Tree, Just Outside Playground"," (-73.90108797647314,40.82545794642495)"
E High Low,"Under Tree, Near Ballfield",Columbus Park,M,2,"E High Low, Under Tree, Near Ballfield"," (-73.99977558707533,40.71562074706411)"
Pedestal,"Out in Open, Near Ballfield",Randall's Island Park,M,1,"Pedestal, Out in Open, Near Ballfield"," (-73.91740483754337,40.793594154451135)"
E High Low,Out in Open,Pearl St Playground,M,2,"E High Low, Out in Open"," (-74.00381707995984,40.70789502973597)"
A,"Out in Open, Just Outside Playground",Bildersee Playground,B,1,"A, Out in Open, Just Outside Playground"," (-73.91164363705983,40.63579522143272)"
D,In Playground,Thomas J. Cuite Park,B,1,"D, In Playground"," (-73.97876148116036,40.65425923008957)"
E and Dog,Out in Open,Petrosino Square,M,2,"E and Dog, Out in Open"," (-73.99744670872579,40.721641033685245)"
F and Dog,Out in Open,Allen Mall One,M,2,"F and Dog, Out in Open"," (-73.99212450229516,40.711044698470424)"
Indoor Drinking Fountain,Indoor,Prospect Park,B,1,"Indoor Drinking Fountain, Indoor"," (-73.97370645920105,40.666899529466434)"
C,Out in Open,Lozada Playground,X,1,"C, Out in Open"," (-73.92514584346887,40.80773506695783)"
C,"Out in Open, Under Tree",Steuben Playground,B,1,"C, Out in Open, Under Tree"," (-73.96353104551014,40.69754126966586)"
A,Out in Open,Peters Field,Q,1,"A, Out in Open"," (-73.77520379626958,40.70569044384606)"
E,Under Tree,St. John's Park,B,1,"E, Under Tree"," (-73.93451437641289,40.67438335905425)"
Indoor Drinking Fountain,Indoor,John J Carty Park,B,1,"Indoor Drinking Fountain, Indoor"," (-74.03165175048707,40.61182053272551)"
C,"Under Tree, In Shade",Beatty Plaza,X,1,"C, Under Tree, In Shade"," (-73.90185665253958,40.8315715856719)"
A,Out in Open,Red Hook Recreation Area,B,1,"A, Out in Open"," (-74.00603792901745,40.672430374641415)"
CS Concrete,,Stanley Isaacs Playground,M,1,"CS Concrete,"," (-73.94459176301625,40.782933069086056)"
Indoor Drinking Fountain,Indoor,Chelsea Recreation Center,M,1,"Indoor Drinking Fountain, Indoor"," (-74.00221961415943,40.748296323917934)"
B,,Central Park,M,1,"B,"," (-73.97160947555898,40.77353774758838)"
A,In Playground,Dyker Beach Park,B,1,"A, In Playground"," (-74.0169051794584,40.60712440873206)"
E,"In Playground, Out in Open",Oracle Playground,B,1,"E, In Playground, Out in Open"," (-73.97178646303001,40.69377764652361)"
C,"Out in Open, In Playground",Willow Lake Playground,Q,1,"C, Out in Open, In Playground"," (-73.83708189516916,40.72258242573028)"
A,Out in Open,"Phil ""Scooter"" Rizzuto Park",Q,1,"A, Out in Open"," (-73.82116619909428,40.69473655255573)"
C,In Playground,Tiffany Playground,X,1,"C, In Playground"," (-73.89425199701294,40.82466855938719)"
J,In Playground,Poppenhusen Playground,Q,1,"J, In Playground"," (-73.84470512856765,40.781479824167555)"
A,Out in Open,Washington's Walk,X,1,"A, Out in Open"," (-73.90079330467755,40.87424701002285)"
Indoor Drinking Fountain,Indoor,Thomas Jefferson Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.93678012062354,40.79364205378934)"
B,"Out in Open, Near Ballfield",Prospect Park,B,1,"B, Out in Open, Near Ballfield"," (-73.97435315786512,40.66250099053556)"
Indoor Drinking Fountain,Indoor,Detective Keith L Williams Park,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.78425397151892,40.701723900314754)"
E and Dog,Out in Open,Tappen Park,R,2,"E and Dog, Out in Open"," (-74.07663255666581,40.626797831014834)"
A,Near Ballfield,Old Town Playground,R,1,"A, Near Ballfield"," (-74.08100294088318,40.59508439271986)"
C,Under Tree,Marconi Park,Q,1,"C, Under Tree"," (-73.79523802746961,40.6940590825213)"
B,In Playground,Franklin D. Roosevelt Boardwalk and Beach,R,1,"B, In Playground"," (-74.06749172202318,40.58908966003022)"
B,Near Ballfield,Thomas Jefferson Park,M,1,"B, Near Ballfield"," (-73.93516843177392,40.79259701030839)"
A,Near Ballfield,Marine Park,B,1,"A, Near Ballfield"," (-73.92538193790725,40.59385551178012)"
D,"Out in Open, In Playground",Breukelen Ballfields,B,1,"D, Out in Open, In Playground"," (-73.89399772521213,40.65368276592804)"
Bottle Filler Fountain,Indoor,Arsenal West,M,2,"Bottle Filler Fountain, Indoor"," (-73.98292048373084,40.76978354768879)"
D,Out in Open,Bath Playground,B,1,"D, Out in Open"," (-73.99299607150836,40.595401272190564)"
C,In Playground,Kennedy King Playground,B,1,"C, In Playground"," (-73.92203193498334,40.65853260724334)"
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.84526447410919,40.747414309898765)"
A,"Under Tree, Out in Open, In Playground",Captain Rivera Playground,X,1,"A, Under Tree, Out in Open, In Playground"," (-73.90696745333322,40.81816331962931)"
C,Out in Open,Carter G. Woodson Children's Park,B,1,"C, Out in Open"," (-73.90595383404712,40.668294330984686)"
A,In Playground,Highland Park,Q,1,"A, In Playground"," (-73.88555153813493,40.68407732591543)"
A,"Under Tree, Just Outside Playground, Near Ballfield",Little Flower Playground,M,1,"A, Under Tree, Just Outside Playground, Near Ballfield"," (-73.98857835651701,40.71219481271369)"
A,In Playground,Mafera Park,Q,1,"A, In Playground"," (-73.89095839424118,40.70639335790304)"
E,Indoor,Prospect Park,B,1,"E, Indoor"," (-73.96400217972061,40.65728362272027)"
A,In Playground,John J Carty Park,B,1,"A, In Playground"," (-74.03015410824793,40.612995437455574)"
A,"In Playground, Out in Open",Bruckner Playground,X,1,"A, In Playground, Out in Open"," (-73.82843282776388,40.82662743536617)"
D,"Out in Open, Near Ballfield",Hickman Playground,B,1,"D, Out in Open, Near Ballfield"," (-73.91284099709107,40.62054040856679)"
E High Low,In Playground,Robert L. Clinkscales Playground and Community Garden,M,2,"E High Low, In Playground"," (-73.93987125820492,40.82274848999279)"
